frame,class,confidence,mask_area
1,bus,0.8953972458839417,13240
1,car,0.8682970404624939,27745
1,car,0.8051843047142029,6013
1,car,0.7081672549247742,7351
1,car,0.6777908205986023,26344
1,car,0.6636430025100708,48952
1,car,0.6114504337310791,8974
1,truck,0.603714644908905,12016
1,truck,0.5986087322235107,18781
1,person,0.5916020274162292,1909
1,car,0.5712873935699463,4045
1,car,0.5707119703292847,20062
1,truck,0.5432040095329285,19999
1,car,0.5362940430641174,7135
1,car,0.4834297299385071,11656
1,car,0.4784635007381439,28210
1,car,0.4625185430049896,3157
1,motorcycle,0.43613338470458984,5106
1,car,0.4339127242565155,16690
1,motorcycle,0.4325881898403168,1510
1,car,0.43076950311660767,2317
1,car,0.42725324630737305,5861
1,person,0.4217665195465088,2623
1,person,0.42096081376075745,1105
1,truck,0.4090948700904846,11602
1,motorcycle,0.3893040418624878,2239
1,motorcycle,0.385843962430954,3610
1,motorcycle,0.36097514629364014,1987
1,bus,0.3600734770298004,2587
1,person,0.34064483642578125,1372
1,truck,0.3392161726951599,35602
1,truck,0.33115914463996887,13045
1,truck,0.32819828391075134,3166
1,car,0.3254678547382355,24437
1,car,0.3149341940879822,2164
1,car,0.282555490732193,13036
1,truck,0.2820037007331848,24824
1,person,0.2758696675300598,3893
1,car,0.2681775987148285,4279
2,bus,0.8903823494911194,11344
2,car,0.8730347752571106,31309
2,car,0.8038713335990906,4168
2,car,0.7619176506996155,23542
2,car,0.755795419216156,50714
2,car,0.7409213185310364,8596
2,car,0.6723347306251526,7288
2,truck,0.6283143162727356,12034
2,truck,0.5671732425689697,18619
2,car,0.5659828186035156,20215
2,truck,0.5552046298980713,20428
2,car,0.5126538276672363,7063
2,motorcycle,0.497713565826416,2500
2,car,0.4804718494415283,28309
2,car,0.47361743450164795,3619
2,truck,0.4651753604412079,11620
2,car,0.43287336826324463,12949
2,car,0.42174825072288513,11620
2,bus,0.4037695825099945,2794
2,truck,0.3810940980911255,3262
2,car,0.380892276763916,2299
2,car,0.3768724799156189,4393
2,car,0.3734469413757324,16699
2,person,0.3702545464038849,736
2,motorcycle,0.36317798495292664,1285
2,truck,0.3602640926837921,36715
2,car,0.35509252548217773,5861
2,car,0.3548458218574524,36850
2,motorcycle,0.3430490791797638,2008
2,person,0.31665799021720886,3899
2,car,0.3044922351837158,24668
2,person,0.28623726963996887,1390
2,person,0.28466612100601196,1810
2,truck,0.26661181449890137,24950
2,person,0.26056694984436035,1396
3,bus,0.8903198838233948,11344
3,car,0.8731187582015991,31309
3,car,0.8029736876487732,4168
3,car,0.7620105147361755,23542
3,car,0.7604668736457825,50726
3,car,0.7364238500595093,8551
3,car,0.674422562122345,7288
3,truck,0.6283084154129028,12034
3,truck,0.5709825158119202,18610
3,truck,0.555846631526947,20428
3,car,0.5535275936126709,20341
3,car,0.5196326971054077,7063
3,motorcycle,0.4930577278137207,2500
3,car,0.4734892249107361,3619
3,car,0.4691590964794159,28264
3,truck,0.4557037949562073,11656
3,car,0.43329018354415894,11638
3,car,0.4315871000289917,12949
3,bus,0.40233850479125977,2794
3,truck,0.3955657482147217,3271
3,car,0.38023197650909424,2299
3,car,0.3736664950847626,4366
3,person,0.36730825901031494,736
3,truck,0.36463260650634766,36760
3,car,0.3609267473220825,16690
3,motorcycle,0.35997194051742554,1285
3,car,0.35251519083976746,5861
3,car,0.35067424178123474,36967
3,motorcycle,0.3477090299129486,2008
3,car,0.314949095249176,24704
3,person,0.31481799483299255,3908
3,person,0.28635740280151367,1390
3,person,0.2828355133533478,1867
3,truck,0.2661421597003937,24941
3,person,0.2595921456813812,1405
4,bus,0.8876144289970398,11176
4,car,0.8747374415397644,33592
4,car,0.8274205327033997,4204
4,car,0.8017368316650391,23359
4,car,0.763595461845398,50828
4,car,0.7049217224121094,7279
4,car,0.6695252060890198,8830
4,car,0.6593693494796753,12214
4,truck,0.6399046778678894,12088
4,car,0.5903410911560059,20305
4,car,0.5803935527801514,7126
4,truck,0.5769798159599304,18817
4,car,0.5181354880332947,2506
4,truck,0.4831700623035431,20401
4,truck,0.4683546721935272,11620
4,car,0.4640575051307678,4987
4,car,0.45897358655929565,28093
4,person,0.4437049627304077,1501
4,person,0.4426281750202179,1618
4,car,0.44066154956817627,11656
4,car,0.40707463026046753,16789
4,motorcycle,0.38886943459510803,1471
4,motorcycle,0.38819873332977295,1264
4,car,0.38817399740219116,5834
4,car,0.38673216104507446,36751
4,motorcycle,0.3788285553455353,1843
4,person,0.36717990040779114,1162
4,motorcycle,0.36474335193634033,3250
4,motorcycle,0.3604866564273834,1405
4,truck,0.3594825863838196,36697
4,motorcycle,0.3498472571372986,7753
4,bus,0.345711886882782,3394
4,truck,0.3456898331642151,3784
4,car,0.3328738808631897,3424
4,person,0.3294280469417572,1432
4,car,0.30609381198883057,24566
4,person,0.28880995512008667,2872
4,person,0.2880156636238098,3935
4,car,0.2833273708820343,1969
4,car,0.28182926774024963,4075
4,bus,0.27893421053886414,3460
4,motorcycle,0.2558034658432007,2284
4,motorcycle,0.25393617153167725,1570
5,bus,0.8937928676605225,11479
5,car,0.8512368202209473,51359
5,car,0.84137362241745,34459
5,car,0.8173049688339233,5215
5,car,0.810876190662384,21421
5,car,0.7007449865341187,7279
5,car,0.6385477185249329,36817
5,truck,0.6267813444137573,12211
5,car,0.6223688125610352,9391
5,motorcycle,0.6207224726676941,4112
5,car,0.6169243454933167,20299
5,car,0.576743483543396,4969
5,person,0.5575011372566223,3451
5,car,0.5467966198921204,7168
5,truck,0.542841374874115,18727
5,motorcycle,0.49904292821884155,1981
5,car,0.4899037480354309,1822
5,car,0.4860835373401642,27580
5,motorcycle,0.4780275523662567,2353
5,car,0.4615336060523987,11698
5,person,0.4439152479171753,1333
5,person,0.4386540651321411,1195
5,car,0.4342781901359558,3301
5,car,0.4200820028781891,16915
5,car,0.4137408435344696,5834
5,truck,0.41123658418655396,20473
5,truck,0.40244588255882263,11620
5,car,0.38066375255584717,2353
5,person,0.36145058274269104,865
5,truck,0.35835766792297363,3865
5,motorcycle,0.3474133014678955,1444
5,person,0.33739593625068665,1654
5,car,0.32384923100471497,13654
5,car,0.3158026337623596,24755
5,person,0.29850122332572937,3917
5,person,0.28371745347976685,2431
5,motorcycle,0.2745019495487213,1180
5,car,0.26923200488090515,1444
5,person,0.2651509642601013,1012
5,motorcycle,0.26336443424224854,1273
6,bus,0.8933706283569336,11488
6,car,0.8497264385223389,51368
6,car,0.8395794034004211,34450
6,car,0.81689453125,5215
6,car,0.8108118772506714,21421
6,car,0.7042859792709351,7270
6,truck,0.6334965229034424,12220
6,car,0.6313999891281128,36799
6,car,0.6262350082397461,9400
6,motorcycle,0.6202167868614197,4103
6,car,0.6178207397460938,20299
6,car,0.5739654898643494,4969
6,person,0.5595813393592834,3442
6,truck,0.5463118553161621,18709
6,car,0.5454771518707275,7276
6,motorcycle,0.503174901008606,1981
6,car,0.4867570698261261,1822
6,motorcycle,0.48229625821113586,2353
6,car,0.47534212470054626,27589
6,car,0.4633494019508362,11707
6,person,0.44495734572410583,1333
6,person,0.4403741955757141,1195
6,car,0.43073052167892456,3301
6,car,0.41700154542922974,5834
6,car,0.4154115319252014,16915
6,truck,0.41254904866218567,20473
6,truck,0.40329140424728394,11611
6,car,0.3767366409301758,2353
6,truck,0.36774778366088867,3865
6,person,0.36361417174339294,865
6,motorcycle,0.34891602396965027,1444
6,car,0.33927062153816223,24794
6,person,0.3381907641887665,1654
6,car,0.32412442564964294,13654
6,person,0.28843817114830017,2431
6,person,0.2878571152687073,3926
6,motorcycle,0.2780551016330719,1180
6,person,0.2655284106731415,1012
6,motorcycle,0.26282939314842224,1273
6,car,0.2603897452354431,1444
7,bus,0.8882859349250793,12157
7,car,0.8857404589653015,35710
7,car,0.8390412926673889,50783
7,car,0.8207618594169617,5215
7,car,0.7510368227958679,10048
7,car,0.7405862808227539,19561
7,car,0.7034170031547546,7270
7,car,0.6937180161476135,36769
7,truck,0.637191116809845,12178
7,car,0.6360088586807251,5023
7,motorcycle,0.6335006356239319,3797
7,car,0.6256086230278015,20452
7,person,0.5959333181381226,3769
7,car,0.5818023085594177,14650
7,car,0.568941056728363,7306
7,car,0.5653054118156433,11671
7,truck,0.5380861163139343,18763
7,motorcycle,0.5187978148460388,1861
7,motorcycle,0.4861418902873993,2632
7,car,0.4687567949295044,27958
7,person,0.44537556171417236,544
7,car,0.4337567687034607,16978
7,car,0.42977896332740784,3361
7,person,0.4268541634082794,1690
7,car,0.41665467619895935,1900
7,truck,0.36794838309288025,20608
7,motorcycle,0.35736262798309326,1525
7,car,0.35672226548194885,5834
7,person,0.33125582337379456,1681
7,motorcycle,0.32080912590026855,1345
7,person,0.310547411441803,2242
7,car,0.2979698181152344,2425
7,person,0.29550889134407043,3908
7,truck,0.2790371775627136,3853
7,motorcycle,0.2663455307483673,1525
7,car,0.2617062032222748,24764
7,motorcycle,0.2504618763923645,1444
8,bus,0.8859546184539795,12058
8,car,0.8424711227416992,50996
8,car,0.8118399977684021,18916
8,car,0.7897709012031555,4321
8,car,0.7345651388168335,14089
8,car,0.7120295763015747,39460
8,car,0.7117855548858643,8435
8,car,0.7073186039924622,37606
8,car,0.6974612474441528,7324
8,car,0.692752480506897,10609
8,car,0.6722592711448669,20434
8,truck,0.631110668182373,12115
8,car,0.5425993204116821,5026
8,truck,0.5249263644218445,18958
8,car,0.5151419639587402,7297
8,car,0.5106224417686462,11665
8,car,0.47325438261032104,27331
8,car,0.4718490540981293,16972
8,person,0.4565432071685791,1684
8,motorcycle,0.4412280321121216,1732
8,person,0.43620729446411133,910
8,motorcycle,0.43140101432800293,1876
8,motorcycle,0.42764338850975037,4645
8,person,0.42640310525894165,2344
8,person,0.413693368434906,1351
8,truck,0.41298002004623413,20518
8,truck,0.40121984481811523,3907
8,car,0.39910799264907837,1981
8,car,0.3909810781478882,5870
8,truck,0.3861067593097687,11467
8,car,0.38167232275009155,24959
8,person,0.348683625459671,2377
8,motorcycle,0.33026814460754395,2116
8,car,0.3296501636505127,3538
8,truck,0.3082475960254669,27253
8,motorcycle,0.29671502113342285,3424
8,person,0.28749558329582214,4166
8,person,0.2586933970451355,3806
9,bus,0.886017382144928,12058
9,car,0.8426517248153687,50996
9,car,0.8120938539505005,18916
9,car,0.7899379134178162,4321
9,car,0.734474241733551,14089
9,car,0.7123725414276123,8435
9,car,0.7119077444076538,39460
9,car,0.7069501280784607,37606
9,car,0.697773814201355,7324
9,car,0.6930450797080994,10609
9,car,0.6727275848388672,20434
9,truck,0.6311529278755188,12115
9,car,0.5429006218910217,5026
9,truck,0.5238185524940491,18958
